title,channel_id,view_cnt,like_cnt,dislike_cnt,subscribe_cnt
大支/Dwagie Feat.異鄉人/Br/Jimix【偷吃】Official Music Video,UCOg5bW6zcbvji5K4BRvQCUw,24780,1108,38,141000
佛跳牆 BUDDHA JUMP《可有可無 Nonessential》Official Music Video,UC770sFWzLmJ38nHX6NTunow,301610,608,7,6950
Allyson 陳瑾緗 -《公主病 Princess》Official Music Video,UCwx0C5kHxmOABOcYgUAnpZQ,5480,140,4,1630
陸虎、黃雅莉、Max馬俊 - 你就是光 You Are The Light（良業城市夜遊推廣曲）Official MV,UCs1wQOl6pWZ4jUn00-x3rJA,6670,40,0,33
JC 說散不散 Official Lyrics Video,UCCcL0bN9tQb1u8xzTqJJzBA,10694,223,13,37500
noovy - 《心絲蟲 Heartworm》Official Music Video,UCbCBuaWvHQH1X1hhLRgBW6g,131917,741,18,12800
林亭翰 Justin Lin - 寒暄 Small talk（官方版MV）,UCEsinqZjZ11w0T9ZvyKIr6A,15585,470,9,1580000
Things Things Things - Julia Wu 吳卓源｜Official Music Video,UCXIfiWFXOYGpcGHY0PALO7g,871005,6253,72,159000
盧廣仲 Crowd Lu【善良的眼鏡 Kind Glasses】Official Music Video,UC9-SkdRRsaABoNvYiacFh_w,87295,4384,34,155000
小男孩樂團 Men Envy Children【Rise and Shine】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,33337,1034,12,2510000
UNINE -《SET IT OFF》Official Music Video,UCFtUq0ml-coWmD70Pt_urRA,11829,554,10,424000
信 Shin【上了癮   Addicted】Official Music Video,UCgcWfH1yD6Z65U92bJfiU7g,31128,713,6,0
黃鴻升 Alien Huang【PLAN B】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,24770,473,26,2510000
李凱馨《I’m Happy》Official Video,UCMxXZDr0XZHSgGP09Q0zS3w,24572,720,3,12300
Limi - 白雲間(Official Audio),UCh16MQDjZLtYzCqrH36dNYg,23166,1374,4,28500
Suming舒米恩【我想做個夢】Official Video,UCtQOMAVHmJuqGPq-tpckXrA,22650,1101,5,13100
Verna曾韻璇 X 陽紹傑Soaér《Move On》 Official MV,UCnuEfEMU21v8Ml3NeNpe_LQ,170574,9176,39,1630
張韶涵 Angela Zhang［引路的風箏The Kite Leads the Way］Official video,UC5Lksw1oqe_AdKcO9MELoJA,84380,2479,75,113000
戴愛玲 Princess Ai《暫時愛著我 One More Second》Official Music Video,UCBYALHUQro_Svk1rFUrWmXg,206012,1739,22,34300
魏如萱 waa wei [ Ophelia ] Official Music Video,UC8wIQijqOBL13NQ2pHG1sUw,334169,9126,26,13600
"楊丞琳 Rainie Yang -〈刪拾 Delete, Reset〉Official HD MV",UC_fW_2QuZldcT3FhCYQ_2vw,905514,8209,122,324000
鄭心慈 Kelly Cheng《想念是最遠的旅行 As Far As I Can Go By Missing You》Official Music Video -【天堂的微笑】片尾曲,UCjp4b34V4urWmyLXYSfyURQ,63121,1657,8,1510
林凡 Freya Lim 《如願以償 Granted》Official Music Video,UCStpPtoeQUYII1Jsbl0qf8A,54988,1157,12,1490000
張智成 Z-Chen【一首難聽的歌】HD 官方完整版 MV,UCAWnuGH5fKJKM-DiWrdbgJA,196507,474,8,354000
李杰明 W.M.L -【很孤單】I'm So Lonely | Official MV,UCHJ2m6e8Lkw_m2VhRT119UQ,37128,1348,12,150000
J.Sheon - Soul Away 囚 (Official Music Video),UC6zFATnplJUo81fH64InI4g,334675,5554,43,151000
陳威全《解散愛》歌詞版,UCOnhqQ_brLlbOeoybRkyzMg,8491,20,3,8650
Matzka【大不了就 One More Time】Official Music Video,UC_j7cOhGt47UHABgtQ3Nmrg,12084,290,2,36300
張震嶽 ayal komod【念念不忘 Never Forgotten About Her】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,100138,2607,39,2510000
Limi - 我的夜晚是不是你的白天 (Official Music Video),UCh16MQDjZLtYzCqrH36dNYg,62461,4257,18,28500
弦子 & 朱興東《讓我們去愛》【只為遇見你 Nice to Meet You OST電視劇片尾曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,13121,101,0,113000
郭靜《只為遇見你》【只為遇見你 Nice to Meet You OST電視劇片頭曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,23098,234,3,113000
魏嘉瑩Arrow Wei【反正孤獨才是我的朋友】Official Music Video feat 八三夭阿電 宇宙人方Q,UCl__rQRN5o5OrozeUNOOIDA,36983,1638,2,41300
Dirty Class X 蔡恩雨 Priscilla Abby《Forever Yours》官方歌詞版 Official Lyric Video,UCSI11yVCM5x45_iiL5YcQZw,79555,3444,21,773000
鼓鼓 呂思緯 [ 跪了 Freefall ] feat. Julia吳卓源 Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,490508,1855,48,2260000
邱比 CHIU PI【葉柏 PY】Official Music Video(4K),UCPcF3KTqhD67ADkukx_OeDg,13871,205,15,2510000
G.E.M.鄧紫棋【句號 Full Stop】Official Music Video,UCsLWG2t7n9LFsvH0wR2rtpw,6585726,154530,1790,1980000
吳克群 Kenji Wu《我和被愛保持距離 I'm Fine》Official Music Video,UCyh5WuLi1-mYbbUe5E9eg3A,1711070,1775,26,77000
【鄭宜農 Enno Cheng –千千萬萬 Lightyears of Solitude】Official Music Video,UC-qEXmOl78qlMa0Pgj8MkIw,80814,3242,9,19900
屁孩 Ryan【不死鳥之歌 Phoenix】Official Music Video,UCDwZFI-o0SAnMloy7b6jH2w,346616,9336,158,94800
【那種朋友】 Demo - 文慧如 Boon Hui Lu,UCRfk-Q4xILetcvG2arvMO9w,35260,913,5,571000
獅子 LION《蕭志達 Xiao Zhi Da》Official Music Video,UCX0j6mgBJIYEXdnyng3pPIQ,228918,3463,25,29700
林亭翰 Justin Lin - 不完整的再見 Incomplete Farewell（官方版MV）,UCEsinqZjZ11w0T9ZvyKIr6A,573519,2788,45,1580000
魏如萱 waa wei [ 竊笑 Stolen Smile ] Official Music Video,UC8wIQijqOBL13NQ2pHG1sUw,54185,1289,5,13600
魏如萱 waa wei [ 陪著你 Be There for You ] Official Music Video 《用九柑仔店》插曲,UC8wIQijqOBL13NQ2pHG1sUw,103894,2282,9,13600
小春Kenzy Feat. 李英宏 aka DJ Didilong【香火 Incense】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,519737,9007,240,2510000
孫子涵 Niko Sun - 夜雨（官方歌詞版）,UCEsinqZjZ11w0T9ZvyKIr6A,15093,201,3,1580000
"魏如萱 waa wei [ 海鷗先生我愛你 Mr. Seagull, I Love You ] Official Lyric Video",UC8wIQijqOBL13NQ2pHG1sUw,66668,1637,11,13600
怕胖團PAPUN BAND《 後照鏡 》Music Video,UC7YH4dd3duJziqGEN2_SxAw,79147,3352,13,30100
蕭秉治 Xiao Bing Chih [ 再活一遍 Live Again ] Official Music Video（HIStory 3 - 那一天 片頭曲）,UC7ovu6a8ydIbDy0fAKmoZ9A,351883,3410,25,2260000
Jax Jones with Gin Lee - 《不愛浪費》MV,UCa2kD29VbGw5BAKJD2naREA,19278,309,17,407000
[avex官方HD] 孫尤安 yoanna sun -《伸縮自在的愛》feat. ØZI 完整版MV,UCH1AHDav6J-2XYkl243Uj3Q,20220,354,16,234000
Bii 畢書盡 - 你是我之外的所有 I Mean Us（官方歌詞版）,UCEsinqZjZ11w0T9ZvyKIr6A,20758,509,3,1580000
謝和弦 R-chord  -《Save me》feat.Renée 陳嘉唯  (Official Music Video),UCzlbQkl8zRJW2LTW25oU0-g,159043,5294,20,440000
'W0LF四堅情' 邱鋒澤 FENG ZE，陳零九 NINE CHEN，黃偉晉WAYNE，小賴 LAI【兵變 Betrayal】MV,UCTKJ96FsE4sv86eSs8yNetw,885396,33836,189,150000
吳克群 Kenji Wu《我和被愛保持距離 I’m Fine》歌詞版 MV,UCyh5WuLi1-mYbbUe5E9eg3A,13736,184,5,77000
楊丞琳 Rainie Yang -〈節日快樂 Celebration Of Oneself〉Official HD MV,UC_fW_2QuZldcT3FhCYQ_2vw,935461,7958,169,324000
ChihSiou 持修 [ 根本不是我對手 ] Official Music Video,UCnf2OuIjllltQ-iNq1gYDlw,1134590,3028,36,3770
TRASH《希望你回來 I Don’t Wanna Say Goodbye》Official Music Video,UCuAzL0PsEngYktHkjNtJKgg,588344,17996,91,31300
路嘉欣 Jozie Lu《凡腦 My So-called Worries》Official MV【HD】,UCzlIY_B9uPngUnRMtVVaGsg,13107,161,2,121000
齊秦、馬思純、霍建華、魏大勛、張瑤、林柏宏、侯佩岑 [ 大約在冬季 Somewhere Winter ] Official Music video(電影『大約在冬季』主題曲),UCCsUQXwhDj4iVlhG4VCq6Kg,76847,712,21,1450000
A-Lin《旅．課 Passenger》Audio Video,UCURRzgKx4DkVozbOjFflMpg,102669,2120,16,170000
謝和弦 R-chord  - 【牧羊人】shepherd man  (Official Music Video),UCzlbQkl8zRJW2LTW25oU0-g,181778,5329,85,440000
鄧典 Deng Dian -《弗洛伊德 Freud》（舞蹈室版）Official Dance Video,UCFtUq0ml-coWmD70Pt_urRA,11665,76,6,424000
陳忻玥 Vicky Chen -【社會敗類 Scumbag】Official MV,UCHJ2m6e8Lkw_m2VhRT119UQ,233400,8449,30,150000
《有种爱》Official MV - 魏妙如 Ruth Kueo (致胜出击 The Good Fight 插曲),UCCI1d9tya_nkt7DwVeFbYRQ,16784,195,1,6290
陳昇 Bobby Chen【她的每一天】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,29079,440,19,2510000
蕭煌奇 Ricky Hsiao〈暫停時光 Precious Moment〉Official MV,UCjuYbqwZlqjk3saS7S2-Z_g,171922,2199,19,84700
印子月《瞬間愛戀》【陪你到世界之巔 Gank Your Heart OST電視劇插曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,15633,110,0,113000
徐雲霄 & 何小河《如果說》【陪你到世界之巔 Gank Your Heart OST電視劇插曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,11083,61,1,113000
MAYDAY五月天 [ 在梅邊 ] feat.王力宏 Official Live Video,UC7ovu6a8ydIbDy0fAKmoZ9A,388277,6330,87,2260000
黃明志 Namewee 【亞麻比 Yamabi】@亞洲通話 Calling Asia,UCFUtqTcgJgRnmZ3tMU6P74Q,209204,7508,122,2180000
徐雲霄《不如》【陪你到世界之巔 Gank Your Heart OST電視劇插曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,11064,105,1,113000
印子月《安心》【陪你到世界之巔 Gank Your Heart OST電視劇插曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,10425,103,2,113000
Limi - 二分之一 (Official Audio),UCh16MQDjZLtYzCqrH36dNYg,43858,1862,3,28500
Allyson 陳瑾緗 -《漿果森林 Berry Forest》Official Music Video,UCwx0C5kHxmOABOcYgUAnpZQ,12393,216,2,1630
