title,channel_id,view_cnt,like_cnt,dislike_cnt,subscribe_cnt
大支/Dwagie Feat.異鄉人/Br/Jimix【偷吃】Official Music Video,UCOg5bW6zcbvji5K4BRvQCUw,110187,2495,95,143000
佛跳牆 BUDDHA JUMP《可有可無 Nonessential》Official Music Video,UC770sFWzLmJ38nHX6NTunow,536935,2012,21,8380
Allyson 陳瑾緗 -《公主病 Princess》Official Music Video,UCwx0C5kHxmOABOcYgUAnpZQ,13211,177,7,1680
陸虎、黃雅莉、Max馬俊 - 你就是光 You Are The Light（良業城市夜遊推廣曲）Official MV,UCs1wQOl6pWZ4jUn00-x3rJA,13978,72,2,39
JC 說散不散 Official Lyrics Video,UCCcL0bN9tQb1u8xzTqJJzBA,22998,322,17,38100
noovy - 《心絲蟲 Heartworm》Official Music Video,UCbCBuaWvHQH1X1hhLRgBW6g,207315,1109,38,13000
林亭翰 Justin Lin - 寒暄 Small talk（官方版MV）,UCEsinqZjZ11w0T9ZvyKIr6A,42644,787,17,1580000
Things Things Things - Julia Wu 吳卓源｜Official Music Video,UCXIfiWFXOYGpcGHY0PALO7g,1119509,9283,120,162000
盧廣仲 Crowd Lu【善良的眼鏡 Kind Glasses】Official Music Video,UC9-SkdRRsaABoNvYiacFh_w,136556,5266,46,155000
小男孩樂團 Men Envy Children【Rise and Shine】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,53935,1253,26,2510000
UNINE -《SET IT OFF》Official Music Video,UCFtUq0ml-coWmD70Pt_urRA,76112,6718,49,427000
信 Shin【上了癮   Addicted】Official Music Video,UCgcWfH1yD6Z65U92bJfiU7g,46027,851,8,0
黃鴻升 Alien Huang【PLAN B】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,35987,550,33,2510000
李凱馨《I’m Happy》Official Video,UCMxXZDr0XZHSgGP09Q0zS3w,36360,1196,8,12700
Limi - 白雲間(Official Audio),UCh16MQDjZLtYzCqrH36dNYg,35434,1525,7,29000
Suming舒米恩【我想做個夢】Official Video,UCtQOMAVHmJuqGPq-tpckXrA,54903,1807,11,13400
Verna曾韻璇 X 陽紹傑Soaér《Move On》 Official MV,UCnuEfEMU21v8Ml3NeNpe_LQ,226476,10252,44,1720
張韶涵 Angela Zhang［引路的風箏The Kite Leads the Way］Official video,UC5Lksw1oqe_AdKcO9MELoJA,140075,3367,112,114000
戴愛玲 Princess Ai《暫時愛著我 One More Second》Official Music Video,UCBYALHUQro_Svk1rFUrWmXg,338131,2602,45,34700
魏如萱 waa wei [ Ophelia ] Official Music Video,UC8wIQijqOBL13NQ2pHG1sUw,679192,12247,46,15000
"楊丞琳 Rainie Yang -〈刪拾 Delete, Reset〉Official HD MV",UC_fW_2QuZldcT3FhCYQ_2vw,1162903,10619,170,327000
鄭心慈 Kelly Cheng《想念是最遠的旅行 As Far As I Can Go By Missing You》Official Music Video -【天堂的微笑】片尾曲,UCjp4b34V4urWmyLXYSfyURQ,479298,2735,18,2240
林凡 Freya Lim 《如願以償 Granted》Official Music Video,UCStpPtoeQUYII1Jsbl0qf8A,108676,1543,17,1490000
張智成 Z-Chen【一首難聽的歌】HD 官方完整版 MV,UCAWnuGH5fKJKM-DiWrdbgJA,263470,1727,43,355000
李杰明 W.M.L -【很孤單】I'm So Lonely | Official MV,UCHJ2m6e8Lkw_m2VhRT119UQ,55204,1558,17,154000
